frequency,ecsFile,variable,value
192000,original,majorAxisAngleOffset,0.3857
193000,original,majorAxisAngleOffset,0.3269
194000,original,majorAxisAngleOffset,0.2534
195000,original,majorAxisAngleOffset,0.1594
196000,original,majorAxisAngleOffset,0.0627
197000,original,majorAxisAngleOffset,-0.0141
198000,original,majorAxisAngleOffset,-0.0455
199000,original,majorAxisAngleOffset,-0.0135
200000,original,majorAxisAngleOffset,0.0419
201000,original,majorAxisAngleOffset,0.0616
202000,original,majorAxisAngleOffset,0.0306
203000,original,majorAxisAngleOffset,0.0064
204000,original,majorAxisAngleOffset,0.0167
205000,original,majorAxisAngleOffset,0.0216
206000,original,majorAxisAngleOffset,0.0048
212000,original,majorAxisAngleOffset,0.0047
213000,original,majorAxisAngleOffset,0.0133
214000,original,majorAxisAngleOffset,0.0179
215000,original,majorAxisAngleOffset,0.0173
216000,original,majorAxisAngleOffset,0.0131
217000,original,majorAxisAngleOffset,0.0079
218000,original,majorAxisAngleOffset,0.0063
219000,original,majorAxisAngleOffset,0.0038
220000,original,majorAxisAngleOffset,-0.0075
221000,original,majorAxisAngleOffset,-0.0221
222000,original,majorAxisAngleOffset,-0.0246
223000,original,majorAxisAngleOffset,-0.0145
224000,original,majorAxisAngleOffset,-0.0049
225000,original,majorAxisAngleOffset,-0.0098
226000,original,majorAxisAngleOffset,-0.0159
227000,original,majorAxisAngleOffset,-0.0139
228000,original,majorAxisAngleOffset,-0.0086
229000,original,majorAxisAngleOffset,-0.0066
230000,original,majorAxisAngleOffset,-0.0097
231000,original,majorAxisAngleOffset,-0.0131
232000,original,majorAxisAngleOffset,-0.0183
233000,original,majorAxisAngleOffset,-0.0287
234000,original,majorAxisAngleOffset,-0.0393
235000,original,majorAxisAngleOffset,-0.0438
236000,original,majorAxisAngleOffset,-0.0473
237000,original,majorAxisAngleOffset,-0.0571
238000,original,majorAxisAngleOffset,-0.0704
239000,original,majorAxisAngleOffset,-0.0827
240000,original,majorAxisAngleOffset,-0.0963
241000,original,majorAxisAngleOffset,-0.1119
247000,original,majorAxisAngleOffset,-0.1863
248000,original,majorAxisAngleOffset,-0.1928
249000,original,majorAxisAngleOffset,-0.1948
250000,original,majorAxisAngleOffset,-0.2023
251000,original,majorAxisAngleOffset,-0.2163
252000,original,majorAxisAngleOffset,-0.2186
253000,original,majorAxisAngleOffset,-0.2178
254000,original,majorAxisAngleOffset,-0.2225
255000,original,majorAxisAngleOffset,-0.2254
256000,original,majorAxisAngleOffset,-0.2219
257000,original,majorAxisAngleOffset,-0.221
258000,original,majorAxisAngleOffset,-0.2221
259000,original,majorAxisAngleOffset,-0.2049
260000,original,majorAxisAngleOffset,-0.1887
45000,original,minorAxisBeamWidth,10.5342
46000,original,minorAxisBeamWidth,10.3932
47000,original,minorAxisBeamWidth,10.1115
48000,original,minorAxisBeamWidth,9.6023
49000,original,minorAxisBeamWidth,9.3763
50000,original,minorAxisBeamWidth,9.387
51000,original,minorAxisBeamWidth,9.2029
52000,original,minorAxisBeamWidth,8.9235
53000,original,minorAxisBeamWidth,8.7944
54000,original,minorAxisBeamWidth,8.7056
55000,original,minorAxisBeamWidth,8.556
56000,original,minorAxisBeamWidth,8.4274
57000,original,minorAxisBeamWidth,8.3597
58000,original,minorAxisBeamWidth,8.2434
59000,original,minorAxisBeamWidth,8.041
60000,original,minorAxisBeamWidth,7.9296
61000,original,minorAxisBeamWidth,7.8873
62000,original,minorAxisBeamWidth,7.7487
63000,original,minorAxisBeamWidth,7.5676
64000,original,minorAxisBeamWidth,7.4645
65000,original,minorAxisBeamWidth,7.396
66000,original,minorAxisBeamWidth,7.2345
67000,original,minorAxisBeamWidth,7.0894
68000,original,minorAxisBeamWidth,7.0035
69000,original,minorAxisBeamWidth,6.8964
70000,original,minorAxisBeamWidth,6.7431
71000,original,minorAxisBeamWidth,6.6417
72000,original,minorAxisBeamWidth,6.5745
73000,original,minorAxisBeamWidth,6.4695
74000,original,minorAxisBeamWidth,6.3276
75000,original,minorAxisBeamWidth,6.2045
76000,original,minorAxisBeamWidth,6.1244
77000,original,minorAxisBeamWidth,6.054
78000,original,minorAxisBeamWidth,5.9868
79000,original,minorAxisBeamWidth,5.9131
80000,original,minorAxisBeamWidth,5.8097
81000,original,minorAxisBeamWidth,5.6931
82000,original,minorAxisBeamWidth,5.5993
83000,original,minorAxisBeamWidth,5.5366
84000,original,minorAxisBeamWidth,5.4789
85000,original,minorAxisBeamWidth,5.4232
94000,original,minorAxisBeamWidth,8.6797
95000,original,minorAxisBeamWidth,8.5115
96000,original,minorAxisBeamWidth,8.2945
97000,original,minorAxisBeamWidth,8.1701
98000,original,minorAxisBeamWidth,8.1045
99000,original,minorAxisBeamWidth,7.8916
100000,original,minorAxisBeamWidth,7.659
101000,original,minorAxisBeamWidth,7.6448
102000,original,minorAxisBeamWidth,7.7431
103000,original,minorAxisBeamWidth,7.7254
104000,original,minorAxisBeamWidth,7.3709
105000,original,minorAxisBeamWidth,7.1679
106000,original,minorAxisBeamWidth,7.1069
107000,original,minorAxisBeamWidth,7.0995
108000,original,minorAxisBeamWidth,7.1091
109000,original,minorAxisBeamWidth,7.1714
110000,original,minorAxisBeamWidth,7.1985
111000,original,minorAxisBeamWidth,7.0932
112000,original,minorAxisBeamWidth,7.0615
113000,original,minorAxisBeamWidth,7.2301
114000,original,minorAxisBeamWidth,7.4347
118000,original,minorAxisBeamWidth,6.8658
119000,original,minorAxisBeamWidth,6.7629
120000,original,minorAxisBeamWidth,6.7843
121000,original,minorAxisBeamWidth,6.7608
122000,original,minorAxisBeamWidth,6.6277
123000,original,minorAxisBeamWidth,6.5786
124000,original,minorAxisBeamWidth,6.6354
125000,original,minorAxisBeamWidth,6.5959
126000,original,minorAxisBeamWidth,6.4957
127000,original,minorAxisBeamWidth,6.4827
128000,original,minorAxisBeamWidth,6.472
129000,original,minorAxisBeamWidth,6.3423
130000,original,minorAxisBeamWidth,6.2492
131000,original,minorAxisBeamWidth,6.2952
138000,original,minorAxisBeamWidth,5.6534
139000,original,minorAxisBeamWidth,5.5691
140000,original,minorAxisBeamWidth,5.5364
141000,original,minorAxisBeamWidth,5.5302
142000,original,minorAxisBeamWidth,5.5189
143000,original,minorAxisBeamWidth,5.4792
144000,original,minorAxisBeamWidth,5.4093
145000,original,minorAxisBeamWidth,5.3551
146000,original,minorAxisBeamWidth,5.3546
147000,original,minorAxisBeamWidth,5.3903
148000,original,minorAxisBeamWidth,5.3907
149000,original,minorAxisBeamWidth,5.3227
150000,original,minorAxisBeamWidth,5.2461
151000,original,minorAxisBeamWidth,5.2503
152000,original,minorAxisBeamWidth,5.3118
153000,original,minorAxisBeamWidth,5.341
154000,original,minorAxisBeamWidth,5.28
155000,original,minorAxisBeamWidth,5.1884
156000,original,minorAxisBeamWidth,5.1348
157000,original,minorAxisBeamWidth,5.1024
158000,original,minorAxisBeamWidth,5.0577
159000,original,minorAxisBeamWidth,5.0083
160000,original,minorAxisBeamWidth,4.9648
161000,original,minorAxisBeamWidth,4.9162
162000,original,minorAxisBeamWidth,4.8645
163000,original,minorAxisBeamWidth,4.841
167000,original,minorAxisBeamWidth,4.7686
168000,original,minorAxisBeamWidth,4.762
169000,original,minorAxisBeamWidth,4.7756
170000,original,minorAxisBeamWidth,4.8433
176000,original,minorAxisBeamWidth,7.3684
177000,original,minorAxisBeamWidth,7.1697
178000,original,minorAxisBeamWidth,6.997
179000,original,minorAxisBeamWidth,7.0861
180000,original,minorAxisBeamWidth,7.1695
181000,original,minorAxisBeamWidth,6.8178
182000,original,minorAxisBeamWidth,6.616
183000,original,minorAxisBeamWidth,6.8168
184000,original,minorAxisBeamWidth,7.133
185000,original,minorAxisBeamWidth,6.9924
186000,original,minorAxisBeamWidth,6.7467
187000,original,minorAxisBeamWidth,6.608
188000,original,minorAxisBeamWidth,6.4164
189000,original,minorAxisBeamWidth,6.24
190000,original,minorAxisBeamWidth,6.2699
191000,original,minorAxisBeamWidth,6.3902
192000,original,minorAxisBeamWidth,6.3397
193000,original,minorAxisBeamWidth,6.2112
194000,original,minorAxisBeamWidth,6.234
195000,original,minorAxisBeamWidth,6.2742
196000,original,minorAxisBeamWidth,6.1994
197000,original,minorAxisBeamWidth,6.167
198000,original,minorAxisBeamWidth,6.2388
199000,original,minorAxisBeamWidth,6.205
200000,original,minorAxisBeamWidth,5.9835
201000,original,minorAxisBeamWidth,5.8275
202000,original,minorAxisBeamWidth,5.9196
203000,original,minorAxisBeamWidth,5.9989
204000,original,minorAxisBeamWidth,5.8365
205000,original,minorAxisBeamWidth,5.6838
206000,original,minorAxisBeamWidth,5.7446
212000,original,minorAxisBeamWidth,5.5627
213000,original,minorAxisBeamWidth,5.4449
214000,original,minorAxisBeamWidth,5.4339
215000,original,minorAxisBeamWidth,5.4671
216000,original,minorAxisBeamWidth,5.4553
217000,original,minorAxisBeamWidth,5.4281
